Module Name,Build Status,Category,Duration (hrs),Faculty Owner,LMS URL,Module Code,No. of Sub-Modules,Notes,Prerequisites,Standalone Price (₹),Target Certification,Tier,Wave
International Markets Track (P9),🔴 Not Built,International Markets,[FILL IN],Content Team,,P9.1–9.7,[FILL IN],"UK, US, Australia, Middle East market modules + cross-cultural communication + pricing for intl. clients",P1.1–P1.6 (core),,None,Professional,Wave 4 (Apr–Jun 2027)
Agency & Freelancing Track (P7),🔴 Not Built,Agency & Freelancing,[FILL IN],Abhishek,,P7.1–7.3,22,"Freelancing setup & client acquisition (8 modules), Agency building (10 modules), Digital Products (4 modules)",P1.1–P1.6 (core),,None,Professional,Wave 3 (Jan–Mar 2027)
Virtual Assistant Professional (P4),🔴 Not Built,Virtual Assistant,[FILL IN],VA Lead,,P4.1–4.4,16,"VA Foundations, Core Skills, Specialist Tracks, Freelancing as a VA",None,,None,"Add-on, Professional",Wave 2 (Oct–Dec 2026)
AI for Marketers — Full Course (P2),🔴 Not Built,AI & Automation,[FILL IN],AI Faculty Lead,,P2.1–2.4,20,"AI basics, prompt engineering, SEO & Analytics AI, Advertising & Growth AI. Benchmark vs Google AI Essentials, NASSCOM FutureSkills",P1.1–P1.6 (core modules),,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
App Development Track (P17),🔴 Not Built,App Development,[FILL IN],Tech/AI Faculty Lead,,P17.1–17.5,11,"App Foundations, No-Code App Builders, AI-Powered App Building, App Store publishing + ASO, Pricing & capstone app",None,,None,"Add-on, Expert, Professional",Wave 8 (Jan–Mar 2027)
B2B Marketing Specialisation (P6.1),🔴 Not Built,Specialisation Track,[FILL IN],B2B Faculty,,P6.1,7,"LinkedIn strategy, account-based marketing, B2B content, sales enablement, demand gen",P1.1–P1.4 (core),,LinkedIn Marketing Labs,"Expert, Professional",Wave 3 (Jan–Mar 2027)
Graphic Design Mastery (P3),🔴 Not Built,Design & Creative,[FILL IN],Design Faculty,,P3.1–3.4,18,"Design Fundamentals, Canva Pro, Advanced Design Tools, Marketing Use Cases",None,,None,"Add-on, Professional",Wave 2 (Oct–Dec 2026)
Career Readiness & Soft Skills (P8),🔴 Not Built,Career & Soft Skills,[FILL IN],Career Team,,P8.1–8.3,[FILL IN],"Business communication, Interview prep (200Q bank + STAR), Personal finance for freelancers",None,,None,"Expert, Professional",Wave 4 (Apr–Jun 2027)
VA Freelancing Track,🔴 Not Built,Virtual Assistant,,VA Lead,,P4.4,TBD,,P4.3,,None,Add-on,Wave 2 (Oct–Dec 2026)
US Market Modules,🔴 Not Built,International Markets,,Content Team,,P9.2,TBD,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
No-Code Website Builders,🔴 Not Built,Web Development,,Web/Design Faculty Lead,,P16.3,TBD,,P16.1,,None,Add-on,Wave 8 (Jan–Mar 2027)
Corporate Pricing Model + Sales Process,🔴 Not Built,Corporate & B2B,,Abhishek + BD Team,,P15.1.3-4,N/A,"Operational deliverable, not a learning module",,,None,Add-on,Wave 7 (Jan–Mar 2028)
Growth Hacking Track,🔴 Not Built,Specialisation Track,,Growth Faculty,,P6.4,6,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
AI Course — Advertising & Growth AI Modules,🔴 Not Built,AI & Automation,,AI Faculty Lead,,P2.4,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Australia Market Modules,🔴 Not Built,International Markets,,Content Team,,P9.3,TBD,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
SEO Depth Modules,🔴 Not Built,Core Digital Marketing,,SEO Faculty,,P1.1,5,"P1.1.1-3 (Technical SEO checklist, Core Web Vitals, Schema Markup) selected as QW-03 quick win",,,GA4,"Expert, Professional",Wave 1 (Jul–Sep 2026)
AI Ethics + Dark Patterns + Sustainable Marketing,🔴 Not Built,Legal & Compliance,,Content Team,,P14.3,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
AI Course — Foundations (Module Scripts & Slides),🔴 Not Built,AI & Automation,,AI Faculty Lead,,P2.1,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
VA Specialist Tracks,🔴 Not Built,Virtual Assistant,,VA Lead,,P4.3,TBD,,P4.2,,None,Add-on,Wave 2 (Oct–Dec 2026)
App Development Foundations + No-Code App Builders,🔴 Not Built,App Development,,Tech/AI Faculty Lead,,P17.1-2,TBD,,,,None,Add-on,Wave 8 (Jan–Mar 2027)
Design Fundamentals,🔴 Not Built,Design & Creative,,Design Faculty,,P3.1,TBD,,,,None,Add-on,Wave 2 (Oct–Dec 2026)
NGO Marketing Modules,🔴 Not Built,Corporate & B2B,,Nivy Care Team,,P15.3,TBD,Integrated with Nivy Care Foundation,,,None,Add-on,Wave 7 (Jan–Mar 2028)
GDPR + CAN-SPAM + IP for Marketers,🔴 Not Built,Legal & Compliance,,Legal Advisor,,P14.2,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
AI Foundations Literacy Layer,🔴 Not Built,AI & Automation,,AI Faculty Lead,,P19.1,4,"QW-07 quick win — AI basics, prompt engineering, AI tools in DM, ethics. Precedes ISP-03 Week 11.",,,None,"Expert, Foundation, Professional",Phase 0
E-Commerce Marketing Depth Modules,🔴 Not Built,Core Digital Marketing,,Ecom Faculty,,P1.7,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
SMM Depth Modules,🔴 Not Built,Core Digital Marketing,,SMM Faculty,,P1.2,5,,,,"LinkedIn Marketing Labs, Meta Blueprint","Expert, Professional",Wave 1 (Jul–Sep 2026)
Landing Pages Modules,🔴 Not Built,Web Development,,Web/Design Faculty Lead,,P16.4,TBD,,P16.3,,None,Add-on,Wave 8 (Jan–Mar 2027)
Personal Branding Track,🔴 Not Built,Specialisation Track,,Branding Faculty,,P6.2,7,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
Discord/WhatsApp Community Setup,🔴 Not Built,Community & Alumni,,Community Manager,,P10.1,N/A,"Operational deliverable, not a learning module",,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
Influencer Marketing Depth Modules,🔴 Not Built,Core Digital Marketing,,Ecom Faculty,,P1.8,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Tier 2/3 India Marketing Modules,🔴 Not Built,India-Specific,,Content Team,,P13.6,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
UK Market Modules,🔴 Not Built,International Markets,,Content Team,,P9.1,TBD,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
DPDP Act + IT Act + DLT Compliance Modules,🔴 Not Built,Legal & Compliance,,Legal Advisor,,P14.1,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
Portfolio Template + Review System,🔴 Not Built,Community & Alumni,,Career Team,,P10.3,N/A,"Operational deliverable, not a learning module",,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
Business Communication Modules,🔴 Not Built,Career & Soft Skills,,Career Team,,P8.1,TBD,,,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
VA Foundations,🔴 Not Built,Virtual Assistant,,VA Lead,,P4.1,TBD,,,,None,Add-on,Wave 2 (Oct–Dec 2026)
Affiliate Marketing Modules,🔴 Not Built,Core Digital Marketing,,Automation Faculty,,P1.10,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Web Design as Freelance Service + Capstone Site Build,🔴 Not Built,Web Development,,Web/Design Faculty Lead,,P16.5,TBD,,P16.4,,None,Add-on,Wave 8 (Jan–Mar 2027)
YouTube Creator Economy Track,🔴 Not Built,Specialisation Track,,YouTube Faculty,,P6.3,7,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
SMS + Push + WhatsApp API Modules,🔴 Not Built,India-Specific,,Automation Faculty,,P13.3,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
AI-Powered App Building Modules,🔴 Not Built,App Development,,Tech/AI Faculty Lead,,P17.3,TBD,,P17.1-2,,None,Add-on,Wave 8 (Jan–Mar 2027)
App Store/Play Store Publishing + ASO,🔴 Not Built,App Development,,Tech/AI Faculty Lead,,P17.4,TBD,,P17.3,,None,Add-on,Wave 8 (Jan–Mar 2027)
Cross-Cultural Comms + Intl. Client Pricing,🔴 Not Built,International Markets,,Content Team,,P9.5-7,3,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
Niche Industry Modules,🔴 Not Built,Specialisation Track,,Content Team,,P6.6,6,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
Content Marketing Depth Modules,🔴 Not Built,Core Digital Marketing,,Content Faculty,,P1.4,7,,,,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Web Fundamentals,🔴 Not Built,Web Development,,Web/Design Faculty Lead,,P16.1,TBD,,,,None,Add-on,Wave 8 (Jan–Mar 2027)
Email Marketing Depth Modules,🔴 Not Built,Core Digital Marketing,,Email + Analytics Faculty,,P1.5,TBD,,,,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
"Gamification — Badges, Leaderboard, Streaks",🔴 Not Built,Community & Alumni,,Tech + Ops,,P10.4,N/A,"Operational deliverable, not a learning module",,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
AI Course — Core Modules,🔴 Not Built,AI & Automation,,AI Faculty Lead,,P2.2,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Analytics Depth Modules,🔴 Not Built,Core Digital Marketing,,Email + Analytics Faculty,,P1.6,TBD,,,,GA4,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Product Marketing Track,🔴 Not Built,Specialisation Track,,PMM Faculty,,P6.5,6,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
CRM Automation Modules,🔴 Not Built,Core Digital Marketing,,Automation Faculty,,P1.9,TBD,,,,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
VA Core Skills,🔴 Not Built,Virtual Assistant,,VA Lead,,P4.2,TBD,,P4.1,,None,Add-on,Wave 2 (Oct–Dec 2026)
Canva Pro Mastery,🔴 Not Built,Design & Creative,,Design Faculty,,P3.2,TBD,,P3.1,,None,Add-on,Wave 2 (Oct–Dec 2026)
B2B Marketing Track,🔴 Not Built,Specialisation Track,,B2B Faculty,,P6.1,7,,,,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
Vernacular Marketing Modules,🔴 Not Built,India-Specific,,Content Team,,P13.2,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
Freelancing Setup + Client Acquisition,🔴 Not Built,Agency & Freelancing,,Abhishek,,P7.1,8,,,,None,"Add-on, Professional",Wave 3 (Jan–Mar 2027)
ASO + Voice Search Modules,🔴 Not Built,India-Specific,,SEO Faculty,,P13.4-5,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
Design for Marketing Use Cases,🔴 Not Built,Design & Creative,,Design Faculty,,P3.4,TBD,,P3.3,,None,Add-on,Wave 2 (Oct–Dec 2026)
Advanced Design Tools,🔴 Not Built,Design & Creative,,Design Faculty,,P3.3,TBD,,P3.2,,None,Add-on,Wave 2 (Oct–Dec 2026)
App Dev Pricing/Packaging + Capstone App Build,🔴 Not Built,App Development,,Tech/AI Faculty Lead,,P17.5,TBD,,P17.4,,None,Add-on,Wave 8 (Jan–Mar 2027)
Alumni Directory + Referral Programme,🔴 Not Built,Community & Alumni,,Community Manager,,P10.2,N/A,"Operational deliverable, not a learning module",,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
"Indian Platform Modules (Moj, Josh, ShareChat, OTT Ads)",🔴 Not Built,India-Specific,,Content Team,,P13.1,TBD,,,,None,"Expert, Foundation, Professional",Wave 6 (Oct–Dec 2027)
Corporate Training Brochure + Curriculum,🔴 Not Built,Corporate & B2B,,Abhishek + Design Team,,P15.1.1-2,N/A,"Operational deliverable, not a learning module",,,None,Add-on,Wave 7 (Jan–Mar 2028)
Middle East Market Modules,🔴 Not Built,International Markets,,Content Team,,P9.4,TBD,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
PPC Depth Modules,🔴 Not Built,Core Digital Marketing,,PPC Faculty,,P1.3,5,,,,Google Ads Search,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Agentic AI & Advanced Automation Modules,🔴 Not Built,AI & Automation,,AI Faculty Lead,,P19.2,3,,P19.1,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Agency Building Track,🔴 Not Built,Agency & Freelancing,,Abhishek,,P7.2,10,,P7.1,,None,"Add-on, Professional",Wave 3 (Jan–Mar 2027)
Digital Products Track,🔴 Not Built,Agency & Freelancing,,Content Team,,P7.3,4,,,,None,"Add-on, Professional",Wave 3 (Jan–Mar 2027)
Personal Finance for Freelancers,🔴 Not Built,Career & Soft Skills,,Nivy Tax Team,,P8.3,TBD,,,,None,"Add-on, Professional",Wave 4 (Apr–Jun 2027)
Interview Prep Deep Dive (200Q Bank + STAR),🔴 Not Built,Career & Soft Skills,,Career Team,,P8.2,TBD,,,,None,"Expert, Foundation, Professional",Wave 4 (Apr–Jun 2027)
WordPress Mastery,🔴 Not Built,Web Development,,Web/Design Faculty Lead,,P16.2,TBD,,P16.1,,None,Add-on,Wave 8 (Jan–Mar 2027)
AI Course — SEO & Analytics AI Modules,🔴 Not Built,AI & Automation,,AI Faculty Lead,,P2.3,TBD,,,,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
