Task,Module,Owner,Phase,Phase Name,Priority,Source Page,Status,Target Date,Task ID,Wave
"P1.6.5 — Add Search Console Deep Dive module (query analysis, CTR optimisation, Core Web Vitals, Index Coverage)",P1.6 Analytics & Data,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.6.5,Wave 1
"P1.4.4 — Add Podcast Creation & Marketing module (Spotify for Podcasters, Anchor, episode structure, distribution, monetisation)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.4,Wave 1
"P1.3.7 — Add YouTube Ads Deep Dive module (Skippable, Non-skippable, Bumper, Masthead, In-feed ads, targeting strategy)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.7,Wave 1
"P1.5.3 — Add Lifecycle Email Marketing module (Welcome, Onboarding, Re-engagement, Win-back, Sunset flows)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.3,Wave 1
"P1.9.3 — Add Lead Scoring Systems module (behavioural + demographic scoring, MQL definition, sales handoff rules)",P1.9 Automation & CRM,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.9.3,Wave 1
"P1.5.4 — Add Email Copywriting Frameworks module (PAS, AIDA, Before/After/Bridge, subject line formulas, preview text)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.4,Wave 1
"P1.1.7 — Add Programmatic & Scalable SEO module (auto-generating landing pages, FAQ pages, location pages at scale)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.7,Wave 1
"P1.8.2 — Add UGC Strategy module (brief templates, repurposing UGC for ads, UGC platforms)",P1.8 Influencer Marketing,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.8.2,Wave 1
"P1.5.1 — Add Email Deliverability Deep Dive module (SPF, DKIM, DMARC, domain warm-up, spam score testing)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.1,Wave 1
"P1.1.6 — Add E-E-A-T Deep Dive module (Experience, Expertise, Authoritativeness, Trust — how Google evaluates it)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.6,Wave 1
"P1.6.3 — Add Conversion Rate Optimisation (CRO) module (heatmaps via Hotjar, session recordings, A/B testing with VWO/Optimizely)",P1.6 Analytics & Data,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.6.3,Wave 1
P1.9.5 — Add Multi-Channel Marketing Automation module (connecting email + SMS + WhatsApp + retargeting ads in one workflow),P1.9 Automation & CRM,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.9.5,Wave 1
"P1.10.2 — Add Major Affiliate Networks module (Amazon Associates, Flipkart Affiliate, CJ Affiliate, ShareASale, Impact)",P1.10 Affiliate & Partnership,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.10.2,Wave 1
"P1.6.4 — Add UTM Strategy & Campaign Tracking module (UTM taxonomy, auto-tagging, tracking offline conversions)",P1.6 Analytics & Data,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.6.4,Wave 1
"P1.3.2 — Add LinkedIn Ads Deep Dive module (Sponsored Content, Message Ads, Document Ads, Lead Gen Forms, B2B targeting)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.2,Wave 1
"P1.4.5 — Add Newsletter & Substack Strategy module (building a subscriber base, monetisation, writing cadence)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.5,Wave 1
"P1.5.6 — Add ConvertKit & Beehiiv module (creator-focused email platforms, paid newsletter setup)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.6,Wave 1
"P1.10.4 — Add Running Your Own Affiliate Programme module (setting up on Tapfiliate/Rewardful, recruiting affiliates)",P1.10 Affiliate & Partnership,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.10.4,Wave 1
"P1.7.3 — Add Marketplace Strategy module (Flipkart, Meesho, Myntra, Nykaa seller setup and optimisation)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.3,Wave 1
"P1.10.1 — Add Affiliate Marketing Fundamentals module (types of affiliate marketing, commission models CPS/CPA/CPC)",P1.10 Affiliate & Partnership,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.10.1,Wave 1
"P1.1.3 — Add NLP & Semantic SEO module (entity-based SEO, topic clusters, content hubs, TF-IDF)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 8, 2026",P1.1.3,Wave 1
"P1.4.2 — Add Long-Form Content Writing module (pillar pages, 3000+ word guides, skyscraper technique, E-E-A-T writing)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.2,Wave 1
"P1.7.4 — Add E-Commerce CRO module (product page optimisation, cart abandonment recovery, checkout flow optimisation)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.4,Wave 1
"P1.3.9 — Add Ad Creative Strategy & Testing module (hook writing, creative fatigue, A/B testing frameworks, DCO)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.9,Wave 1
"P1.3.5 — Add Attribution Modelling module (last click vs data-driven, multi-touch, cross-channel attribution in GA4)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.5,Wave 1
"P1.6.2 — Add Looker Studio Dashboards module (connecting GA4, Search Console, Ads; building live reports)",P1.6 Analytics & Data,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.6.2,Wave 1
"P1.9.1 — Add HubSpot CRM Deep Dive module (contacts, deals, pipelines, tasks, sequences, reporting)",P1.9 Automation & CRM,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.9.1,Wave 1
"P1.8.4 — Add Brand Ambassador Programmes module (structure, tiers, incentives, long-term influencer relationships)",P1.8 Influencer Marketing,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.8.4,Wave 1
"P1.7.6 — Add Cross-Border E-Commerce module (international shipping, currency, taxes, compliance basics)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.6,Wave 1
"P1.4.1 — Add Content Strategy Framework module (ICP mapping, buyer journey content mapping, TOFU/MOFU/BOFU)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.1,Wave 1
"P1.2.6 — Add WhatsApp Business Marketing module (broadcast lists, WhatsApp Channels, automated flows, catalogue setup)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.6,Wave 1
"P1.2.10 — Add Social Media Analytics Deep Dive module (native vs third-party tools, share of voice, sentiment analysis)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.10,Wave 1
"P1.9.2 — Add n8n Automation module (self-hosted automation for lead routing, CRM sync, notification workflows)",P1.9 Automation & CRM,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.9.2,Wave 1
P1.4.3 — Add Content Repurposing System module (one piece → 10 formats: blog → reel → carousel → email → podcast → thread),P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.3,Wave 1
"P1.1.2 — Add Schema Markup & Structured Data module (JSON-LD, Rich Snippets, FAQ schema, Product schema)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 8, 2026",P1.1.2,Wave 1
"P1.2.3 — Add LinkedIn B2B Strategy module (personal branding, company page growth, newsletters, Sales Navigator basics)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.3,Wave 1
"P1.10.3 — Add Niche Site Building module (selecting a niche, keyword strategy for affiliate content, monetisation)",P1.10 Affiliate & Partnership,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.10.3,Wave 1
"P1.1.1 — Add Core Web Vitals module (LCP, CLS, FID/INP) with hands-on PageSpeed & Screaming Frog walkthroughs",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 8, 2026",P1.1.1,Wave 1
"P1.2.9 — Add Community Building & Management module (Facebook Groups strategy, Discord setup, moderation, monetisation)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.9,Wave 1
"P1.7.1 — Add Amazon Seller Central Deep Dive module (listing optimisation, A+ Content, Brand Registry, FBA, Amazon PPC basics)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.1,Wave 1
"P1.1.9 — Expand Technical SEO module (Robots.txt, XML Sitemaps, Crawl Budget, Canonicals, Redirect Chains, Log File Analysis)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.9,Wave 1
"P1.2.1 — Add Content Pillars & Calendar System module (5-pillar framework, 90-day content planning, Notion template)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.1,Wave 1
"P1.7.2 — Add D2C Growth Marketing System module (acquisition → retention flywheel, subscription commerce, bundling)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.2,Wave 1
"P1.5.5 — Add A/B Testing Email Campaigns module (subject lines, send times, CTAs, content length)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.5,Wave 1
"P1.1.8 — Add Video SEO module (YouTube ranking, transcript optimisation, video schema, embedding strategy)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.8,Wave 1
"P1.3.1 — Add Microsoft/Bing Ads module (account setup, importing from Google Ads, LinkedIn targeting integration)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.1,Wave 1
"P1.1.4 — Add International & Multilingual SEO module (hreflang tags, geo-targeting, international site architecture)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.4,Wave 1
"P1.1.5 — Add AI-Powered SEO module (ChatGPT for keyword clustering, SurferSEO, Frase, NeuronWriter)",P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.5,Wave 1
"P1.3.6 — Add Programmatic Advertising Basics module (DSP/SSP/DMP concepts, display buying, viewability metrics)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.6,Wave 1
P1.1.10 — Add SEO Reporting module (live rank-tracking dashboards in Looker Studio + SEMrush),P1.1 SEO,SEO Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 10, 2026",P1.1.10,Wave 1
"P1.6.6 — Add Marketing KPI Framework module (CAC, LTV, ROAS, CPL, MQL/SQL ratios, building a marketing scorecard)",P1.6 Analytics & Data,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.6.6,Wave 1
"P1.4.6 — Add Visual Content Marketing module (infographics, data visualisation, SlideShare strategy)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.6,Wave 1
"P1.8.3 — Add Influencer Campaign Measurement module (EMV, reach vs resonance, attribution for influencer traffic)",P1.8 Influencer Marketing,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.8.3,Wave 1
"P1.2.2 — Add Instagram Deep Dive module (Reels algorithm, carousel strategy, story funnels, shopping integration)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.2,Wave 1
"P1.2.4 — Add YouTube Channel Growth System module (end screens, cards, chapter markers, community tab, Shorts strategy)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.4,Wave 1
"P1.8.1 — Add Influencer Briefing & Contracts module (usage rights, exclusivity, payment terms)",P1.8 Influencer Marketing,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.8.1,Wave 1
"P1.2.5 — Add Twitter/X Marketing module (threads strategy, engagement loops, X premium benefits, community building)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.5,Wave 1
"P1.3.8 — Add Retargeting Strategy System module (pixel setup, custom audiences, lookalikes, sequential messaging)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.8,Wave 1
"P1.3.10 — Add Competitor Ad Intelligence module (Facebook Ad Library, SpyFu, SimilarWeb Ads, Auction Insights deep dive)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.10,Wave 1
"P1.4.7 — Add Content Distribution & Amplification module (paid promotion of content, outreach for links, syndication)",P1.4 Content Marketing,Content Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 31, 2026",P1.4.7,Wave 1
"P1.2.7 — Add Telegram Marketing module (channel vs group strategy, bots, auto-publishing, monetisation)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.7,Wave 1
"P1.7.5 — Add E-Commerce Email & WhatsApp Automation module (abandoned cart flows, post-purchase sequences, review requests)",P1.7 E-Commerce,Ecom Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 14, 2026",P1.7.5,Wave 1
"P1.9.4 — Add WhatsApp Automation module (WATI, Interakt, AiSensy flows for sales and support automation)",P1.9 Automation & CRM,Automation Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 21, 2026",P1.9.4,Wave 1
"P1.5.2 — Add Advanced Segmentation module (RFM model, behavioural segmentation, predictive segmentation)",P1.5 Email Marketing,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"August 7, 2026",P1.5.2,Wave 1
"P1.3.3 — Add Google Performance Max module (asset groups, audience signals, search themes, insights report)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.3,Wave 1
Complete Faculty & Hiring Gap Audit — all specialist roles assumed by plan vs who fills them,Resourcing,Abhishek,0,Phase 0 — Operational,P0 - Quick Win,,🔴 Pending,"June 20, 2026",QW-13,Phase 0
"Write AI Foundations Literacy Layer — 4 sub-modules: AI basics, prompt engineering, AI tools in DM, ethics",AI Foundations — P19.1,AI Faculty Lead,19,AI Curriculum Benchmark Alignment,P0 - Quick Win,,🔴 Pending,"June 22, 2026",QW-07,Phase 0
Write Faculty Recording & Slide Standards SOP,Production Standards — P11.2,Abhishek,11,"Faculty, Content Quality & Operations",P0 - Quick Win,,🟡 In Progress,"June 16, 2026",QW-10,Phase 0
